Mkt Al	Orig	Dest	Miles	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Ops/Week	Seats	Seats/ Dep	ASMs
8E	DRG	BKC	46	1	1	1	1	1	1	1	7	70	10	3220
8E	DRG	OME	134	1	1	1	1	1	0	0	5	50	10	6700
8E	DRG	OTZ	56	1	1	1	1	1	1	1	7	70	10	3920
8E	ELI	GLV	23	1	1	1	1	1	1	1	7	70	10	1610
8E	ELI	OME	95	1	1	1	1	1	1	1	7	70	10	6650
8E	GAM	OME	197	2	2	2	2	2	1	1	12	228	19	44916
8E	GAM	SVA	40	1	1	1	1	1	1	1	7	133	19	5320
8E	GLV	ELI	23	1	1	1	1	1	1	1	7	70	10	1610
8E	GLV	WMO	15	1	1	1	1	1	1	1	7	70	10	1050
8E	IAN	ORV	19	0	0	0	0	0	1	1	2	20	10	380
8E	IAN	OTZ	59	2	2	2	2	2	1	1	12	120	10	7080
8E	KKA	OME	130	1	1	1	1	1	1	1	7	70	10	9100
8E	KKA	SKK	43	1	1	1	1	1	1	1	7	70	10	3010
8E	KKA	UNK	74	1	1	1	1	1	0	0	5	50	10	3700
8E	KTS	OME	64	1	1	1	1	1	1	1	7	70	10	4480
8E	KTS	TLA	5	1	1	1	1	1	1	1	7	70	10	350
8E	KVL	OTZ	78	2	2	2	2	2	2	2	14	140	10	10920
8E	LUR	OTZ	165	1	0	0	0	0	0	0	1	10	10	1650
8E	OBU	OTZ	156	1	1	1	1	1	1	1	7	70	10	10920
8E	OBU	SHG	8	1	1	1	1	1	1	1	7	70	10	560
8E	OME	ELI	95	1	1	1	1	1	1	1	7	70	10	6650
8E	OME	GAM	197	1	1	1	1	1	1	1	7	133	19	26201
8E	OME	KKA	130	1	1	1	1	1	1	1	7	70	10	9100
8E	OME	KTS	64	1	1	1	1	1	1	1	7	70	10	4480
8E	OME	OTZ	183	1	1	1	1	1	0	0	5	50	10	9150
8E	OME	SHH	122	2	2	2	2	2	2	2	14	140	10	17080
8E	OME	SMK	126	2	2	2	2	2	1	1	12	120	10	15120
8E	OME	SVA	162	2	2	2	2	2	1	1	12	228	19	36936
8E	OME	TLA	59	1	1	1	1	1	1	1	7	70	10	4130
8E	OME	UNK	147	2	2	2	2	2	1	1	12	120	10	17640
8E	OME	WAA	109	1	1	1	1	1	0	0	5	50	10	5450
8E	OME	WMO	62	1	1	1	1	1	1	1	7	70	10	4340
8E	ORV	IAN	19	1	1	1	1	1	1	1	7	70	10	1330
8E	ORV	OTZ	43	1	1	1	1	1	1	1	7	70	10	3010
8E	OTZ	ABL	130	1	1	1	1	1	1	1	7	70	10	9100
8E	OTZ	BKC	75	1	1	1	1	1	1	1	7	70	10	5250
8E	OTZ	DRG	56	2	2	2	2	2	1	1	12	120	10	6720
8E	OTZ	IAN	59	1	1	1	1	1	1	1	7	70	10	4130
8E	OTZ	KVL	78	1	1	1	0	0	0	0	3	30	10	2340
8E	OTZ	OBU	156	1	1	1	1	1	1	1	7	70	10	10920
8E	OTZ	ORV	43	2	2	2	2	2	1	1	12	120	10	5160
8E	OTZ	PHO	150	3	3	3	2	3	3	2	19	190	10	28500
8E	OTZ	WLK	74	2	2	2	2	2	2	2	14	140	10	10360
8E	OTZ	WTK	48	2	2	2	2	2	2	2	14	140	10	6720
8E	PHO	KVL	72	1	1	1	1	1	1	1	7	70	10	5040
8E	PHO	LUR	40	1	0	0	0	0	0	0	1	10	10	400
8E	PHO	OTZ	150	1	2	2	1	2	2	1	11	110	10	16500
8E	SHG	ABL	23	1	1	1	1	1	1	1	7	70	10	1610
8E	SHG	OBU	8	1	1	1	1	1	1	1	7	70	10	560
8E	SHH	OME	122	2	2	2	2	2	1	1	12	120	10	14640
8E	SHH	WAA	72	0	0	0	0	0	1	1	2	20	10	1440
8E	SKK	KKA	43	2	2	2	2	2	1	1	12	120	10	5160
8E	SKK	UNK	32	1	1	1	1	1	1	1	7	70	10	2240
8E	SMK	WBB	8	4	4	4	4	4	2	2	24	240	10	1920
8E	SVA	GAM	40	2	2	2	2	2	1	1	12	228	19	9120
8E	SVA	OME	162	1	1	1	1	1	1	1	7	133	19	21546
8E	TLA	KTS	5	1	1	1	1	1	1	1	7	70	10	350
8E	TLA	OME	59	1	1	1	1	1	1	1	7	70	10	4130
8E	TNC	OME	103	1	0	0	0	0	0	0	1	10	10	1030
8E	UNK	OME	147	1	1	1	1	1	0	0	5	50	10	7350
8E	UNK	SKK	32	2	2	2	2	2	1	1	12	120	10	3840
8E	UNK	SMK	47	2	2	2	2	2	1	1	12	120	10	5640
8E	WAA	OME	109	0	1	1	1	1	1	1	6	60	10	6540
8E	WAA	TNC	7	1	0	0	0	0	0	0	1	10	10	70
8E	WBB	OME	118	3	3	3	3	3	2	2	19	190	10	22420
8E	WBB	UNK	52	1	1	1	1	1	0	0	5	50	10	2600
8E	WLK	OTZ	74	2	2	2	2	2	2	2	14	140	10	10360
8E	WMO	GLV	15	1	1	1	1	1	1	1	7	70	10	1050
8E	WMO	OME	62	1	1	1	1	1	1	1	7	70	10	4340
8E	WTK	KVL	43	0	0	0	1	1	1	1	4	40	10	1720
8E	WTK	OTZ	48	2	2	2	1	1	1	1	10	100	10	4800
8V	AET	FAI	183	1	1	1	1	1	1	1	7	70	10	12810
8V	AET	HUS	57	1	0	1	0	1	0	0	3	30	10	1710
8V	AIN	ATK	62	1	1	1	1	1	0	0	5	50	10	3100
8V	AIN	BRW	87	1	1	1	1	1	0	0	5	50	10	4350
8V	AKP	FAI	254	2	2	2	2	2	1	1	12	120	10	30480
8V	ARC	VEE	81	1	1	1	1	1	0	1	6	60	10	4860
8V	ATK	AIN	62	1	1	1	1	1	0	0	5	50	10	3100
8V	ATK	BRW	58	1	1	1	1	1	0	0	5	50	10	2900
8V	BRW	AIN	87	1	1	1	1	1	0	0	5	50	10	4350
8V	BRW	ATK	58	1	1	1	1	1	0	0	5	50	10	2900
8V	BRW	NUI	152	1	1	1	1	1	0	0	5	50	10	7600
8V	BRW	PIZ	180	1	1	1	1	1	0	0	5	50	10	9000
8V	BTI	FAI	386	1	1	1	1	1	1	0	6	60	10	23160
8V	BTI	SCC	115	1	1	1	1	1	1	0	6	60	10	6900
8V	BTT	AET	40	1	1	1	1	1	1	1	7	70	10	2800
8V	CIK	FYU	41	1	1	1	1	1	1	1	7	70	10	2870
8V	FAI	AET	183	1	0	1	0	1	0	0	3	30	10	5490
8V	FAI	AKP	254	2	2	2	2	2	1	1	12	120	10	30480
8V	FAI	BTI	386	1	1	1	1	1	1	0	6	60	10	23160
8V	FAI	BTT	179	1	1	1	1	1	1	1	7	70	10	12530
8V	FAI	FYU	144	3	3	3	3	3	2	3	20	200	10	28800
8V	FAI	GAL	268	3	3	3	3	3	1	1	17	170	10	45560
8V	FAI	HKB	74	0	1	0	1	0	1	0	3	30	10	2220
8V	FAI	HSL	254	1	0	1	0	1	1	1	5	50	10	12700
8V	FAI	KBC	117	1	1	1	1	1	0	0	5	50	10	5850
8V	FAI	LMA	148	1	0	0	1	0	0	0	2	16	8	2368
8V	FAI	RBY	225	1	1	1	1	1	0	1	6	60	10	13500
8V	FAI	TAL	127	2	2	2	2	2	1	1	12	120	10	15240
8V	FAI	VEE	158	1	1	1	1	1	1	0	6	60	10	9480
8V	FYU	CIK	41	1	1	1	1	1	1	1	7	70	10	2870
8V	FYU	FAI	144	3	3	3	3	3	2	3	20	200	10	28800
8V	FYU	KBC	27	1	1	1	1	1	0	0	5	50	10	1350
8V	FYU	VEE	45	1	1	1	1	1	0	1	6	60	10	2700
8V	GAL	FAI	268	3	3	3	3	3	1	1	17	170	10	45560
8V	GAL	HSL	69	1	0	1	0	1	0	0	3	30	10	2070
8V	GAL	KAL	61	1	1	1	1	1	0	1	6	60	10	3660
8V	GAL	NUL	34	2	2	2	2	2	1	1	12	120	10	4080
8V	GAL	RBY	44	1	0	1	0	1	0	1	4	40	10	1760
8V	HKB	TKJ	188	0	1	0	1	0	1	0	3	30	10	5640
8V	HSL	FAI	254	1	0	1	0	1	0	0	3	30	10	7620
8V	HSL	GAL	69	1	0	1	0	1	0	0	3	30	10	2070
8V	HSL	HUS	64	0	1	0	1	0	1	1	4	40	10	2560
8V	HSL	TAL	128	0	1	0	1	0	0	0	2	20	10	2560
8V	HUS	FAI	203	1	0	1	0	1	1	1	5	50	10	10150
8V	HUS	TAL	86	0	1	0	1	0	0	0	2	20	10	1720
8V	KAL	GAL	61	1	1	1	1	1	0	1	6	60	10	3660
8V	KBC	FAI	117	1	1	1	1	1	0	0	5	50	10	5850
8V	KBC	FYU	27	1	1	1	1	1	0	0	5	50	10	1350
8V	KYU	GAL	25	1	1	1	1	1	1	1	7	70	10	1750
8V	LMA	FAI	148	1	0	0	1	0	0	0	2	16	8	2368
8V	NUI	BRW	152	1	1	1	1	1	0	0	5	50	10	7600
8V	NUI	SCC	59	1	1	1	1	1	0	0	5	50	10	2950
8V	NUL	GAL	34	1	1	1	1	1	0	0	5	50	10	1700
8V	NUL	KYU	15	1	1	1	1	1	1	1	7	70	10	1050
8V	PIZ	BRW	180	1	1	1	1	1	0	0	5	50	10	9000
8V	RBY	FAI	225	1	1	1	1	1	0	1	6	60	10	13500
8V	RBY	GAL	44	1	0	1	0	1	0	1	4	40	10	1760
8V	RBY	TAL	103	0	0	0	0	0	1	0	1	10	10	1030
8V	SCC	BTI	115	1	1	1	1	1	1	0	6	60	10	6900
8V	SCC	NUI	59	1	1	1	1	1	0	0	5	50	10	2950
8V	TAL	FAI	127	2	2	2	2	2	1	1	12	120	10	15240
8V	TAL	HSL	128	0	2	0	2	0	0	0	4	40	10	5120
8V	TAL	RBY	103	0	0	0	0	0	1	0	1	10	10	1030
8V	TKJ	FAI	181	0	1	0	1	0	1	0	3	30	10	5430
8V	VEE	ARC	81	1	1	1	1	1	1	1	7	70	10	5670
8V	VEE	FAI	158	1	1	1	1	1	1	0	6	60	10	9480
8V	VEE	FYU	45	1	1	1	1	1	0	1	6	60	10	2700
9K	ACK	BOS	91	9	6	6	5	9	7	8	50	450	9	40950
9K	ACK	EWB	55	1	1	1	1	1	0	1	6	54	9	2970
9K	ACK	HYA	30	1	1	1	1	1	2	2	9	81	9	2430
9K	ACK	MVY	30	2	2	2	2	2	1	1	12	108	9	3240
9K	AUG	BOS	148	3	3	3	3	3	3	3	21	189	9	27972
9K	BHB	BOS	196	3	3	3	3	3	3	3	21	189	9	37044
9K	BIL	GDV	201	2	2	2	2	2	2	2	14	126	9	25326
9K	BIL	GGW	189	2	2	2	2	2	2	2	14	126	9	23814
9K	BIL	HVR	198	2	2	2	2	2	2	2	14	126	9	24948
9K	BIL	OLF	212	2	2	2	2	2	2	2	14	126	9	26712
9K	BIL	SDY	245	5	5	5	5	5	5	5	35	315	9	77175
9K	BOS	ACK	91	8	6	7	5	10	8	9	53	477	9	43407
9K	BOS	AUG	148	3	3	3	3	3	3	3	21	189	9	27972
9K	BOS	BHB	196	3	3	3	3	3	3	3	21	189	9	37044
9K	BOS	EWB	47	2	2	2	2	2	2	2	14	126	9	5922
9K	BOS	HYA	61	2	3	3	2	2	2	3	17	153	9	9333
9K	BOS	ISP	153	3	1	2	1	3	3	2	15	135	9	20655
9K	BOS	LEB	109	4	4	4	4	4	4	4	28	252	9	27468
9K	BOS	MVY	70	6	5	5	5	6	5	5	37	333	9	23310
9K	BOS	PVC	45	2	2	0	0	0	0	0	4	36	9	1620
9K	BOS	RKD	152	3	3	3	3	3	3	3	21	189	9	28728
9K	BOS	RUT	127	3	3	3	3	3	3	3	21	189	9	24003
9K	BOS	SLK	213	2	2	2	2	2	2	2	14	126	9	26838
9K	CPX	SJU	47	2	1	1	2	2	5	5	18	162	9	7614
9K	EWB	ACK	55	1	1	1	1	1	0	0	5	45	9	2475
9K	EWB	BOS	47	2	2	2	2	2	2	2	14	126	9	5922
9K	EWB	MVY	26	0	0	0	0	0	0	1	1	9	9	234
9K	GDV	BIL	201	2	2	2	2	2	2	2	14	126	9	25326
9K	GGW	BIL	189	2	2	2	2	2	2	2	14	126	9	23814
9K	HPN	LEB	191	2	2	2	2	2	2	2	14	126	9	24066
9K	HVR	BIL	198	2	2	2	2	2	2	2	14	126	9	24948
9K	HYA	ACK	30	2	2	2	2	2	3	3	16	144	9	4320
9K	HYA	BOS	61	2	3	3	2	2	2	3	17	153	9	9333
9K	HYA	JFK	196	0	1	0	0	1	1	0	3	27	9	5292
9K	HYA	MVY	26	0	1	1	0	1	1	0	4	36	9	936
9K	ISP	BOS	153	3	1	2	1	3	3	2	15	135	9	20655
9K	JFK	HYA	196	0	1	0	0	1	1	0	3	27	9	5292
9K	JFK	MVY	173	1	1	1	1	1	1	1	7	63	9	10899
9K	JFK	SLK	259	1	1	1	1	1	1	1	7	63	9	16317
9K	LEB	BOS	109	4	4	4	4	4	4	4	28	252	9	27468
9K	LEB	HPN	191	2	2	2	2	2	2	2	14	126	9	24066
9K	MAZ	SJU	76	4	4	4	4	4	4	4	28	252	9	19152
9K	MVY	ACK	30	2	2	2	2	2	1	1	12	108	9	3240
9K	MVY	BOS	70	5	5	5	4	6	5	5	35	315	9	22050
9K	MVY	JFK	173	1	1	1	1	1	1	1	7	63	9	10899
9K	OLF	BIL	212	2	2	2	2	2	2	2	14	126	9	26712
9K	PVC	BOS	45	2	2	0	0	0	0	0	4	36	9	1620
9K	RKD	BOS	152	3	3	3	3	3	3	3	21	189	9	28728
9K	RUT	BOS	127	3	3	3	3	3	3	3	21	189	9	24003
9K	SDY	BIL	245	5	5	5	5	5	5	5	35	315	9	77175
9K	SJU	CPX	47	2	1	1	2	2	5	5	18	162	9	7614
9K	SJU	EIS	96	3	3	3	4	7	8	9	37	333	9	31968
9K	SJU	MAZ	76	4	4	4	4	4	4	4	28	252	9	19152
9K	SJU	STT	68	8	7	8	9	13	10	10	65	585	9	39780
9K	SJU	STX	94	3	3	3	2	3	3	3	20	180	9	16920
9K	SJU	VIJ	103	1	1	1	1	1	1	1	7	63	9	6489
9K	SJU	VQS	40	7	5	4	4	8	8	8	44	396	9	15840
9K	SLK	BOS	213	2	2	2	2	2	2	2	14	126	9	26838
9K	SLK	JFK	259	1	1	1	1	1	1	1	7	63	9	16317
9K	STT	AXA	126	1	1	1	1	1	1	1	7	63	9	7938
9K	STT	EIS	29	2	2	1	1	3	3	3	15	135	9	3915
9K	STT	NEV	175	1	1	1	1	1	1	1	7	63	9	11025
9K	STT	SBH	143	2	2	2	2	2	2	2	14	126	9	18018
9K	STT	SJU	68	8	7	8	8	11	10	10	62	558	9	37944
9K	STT	SKB	164	1	0	1	1	1	1	0	5	45	9	7380
9K	STT	STX	45	8	7	6	8	8	8	8	53	477	9	21465
9K	STX	NEV	150	0	0	0	0	1	0	1	2	18	9	2700
9K	STX	SJU	94	4	3	3	3	3	3	3	22	198	9	18612
9K	STX	STT	45	7	6	6	7	8	7	7	48	432	9	19440
9K	VQS	SJU	40	7	5	4	4	8	8	8	44	396	9	15840
9X	BFD	IAD	207	2	2	2	2	2	1	1	12	108	9	22356
9X	BFD	PIT	123	2	2	2	2	2	1	1	12	108	9	13284
9X	BNA	JBR	223	1	1	0	1	1	1	1	6	54	9	12042
9X	DFW	ELD	246	2	2	2	2	2	2	2	14	126	9	30996
9X	DFW	HOT	252	3	2	2	3	2	2	2	16	144	9	36288
9X	DFW	HRO	321	2	2	2	2	2	2	2	14	126	9	40446
9X	DUJ	IAD	172	3	3	3	3	3	2	2	19	171	9	29412
9X	DUJ	PIT	84	3	3	3	3	3	2	2	19	171	9	14364
9X	ELD	DFW	246	2	2	2	2	2	2	2	14	126	9	30996
9X	ELD	MEM	206	1	0	0	1	1	0	1	4	36	9	7416
9X	HNL	JHM	84	1	1	1	1	1	1	1	7	63	9	5292
9X	HNL	LNY	73	7	7	7	7	8	7	7	50	450	9	32850
9X	HNL	LUP	62	2	2	2	2	2	1	1	12	108	9	6696
9X	HNL	MKK	54	20	20	20	21	20	18	21	140	1260	9	68040
9X	HNM	OGG	28	2	3	2	2	2	2	2	15	135	9	3780
9X	HOT	DFW	252	3	2	2	3	2	2	2	16	144	9	36288
9X	HOT	MEM	182	0	0	0	0	1	0	1	2	18	9	3276
9X	HRO	DFW	321	2	2	2	2	2	2	2	14	126	9	40446
9X	HRO	MEM	197	1	0	0	1	1	0	1	4	36	9	7092
9X	IAD	BFD	207	2	2	2	2	2	1	1	12	108	9	22356
9X	IAD	DUJ	172	3	3	3	3	3	2	2	19	171	9	29412
9X	IAD	IPT	161	2	1	2	2	2	1	2	12	108	9	17388
9X	IAD	LNS	102	3	3	3	3	3	1	2	18	162	9	16524
9X	IPL	LAX	181	3	2	3	3	3	1	2	17	153	9	27693
9X	IPL	PHX	211	1	1	1	1	1	1	1	7	63	9	13293
9X	IPT	IAD	161	2	1	2	2	2	1	2	12	108	9	17388
9X	JBR	BNA	223	1	1	0	1	1	1	1	6	54	9	12042
9X	JBR	STL	202	2	2	2	2	2	1	1	12	108	9	21816
9X	JHM	HNL	84	1	1	1	1	1	1	1	7	63	9	5292
9X	KOA	MUE	31	1	1	1	1	1	1	1	7	63	9	1953
9X	LAX	IPL	181	3	2	3	3	3	1	2	17	153	9	27693
