Mkt Al,Orig,Dest,Miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Ops/Week,Seats,Seats/ Dep,ASMs
AA,AUS,LAX,"1,242",3,2,2,3,3,2,3,18,"2,040",113.3,"2,533,680"
AA,AUS,MIA,"1,104",4,4,4,4,4,4,4,28,"4,816",172.0,"5,316,864"
AA,AUS,ORD,978,4,4,4,4,4,4,4,28,"4,288",153.1,"4,193,664"
AA,AUS,PHL,"1,430",4,4,4,4,4,3,4,27,"3,610",133.7,"5,162,300"
AA,AUS,PHX,872,4,2,3,4,3,3,4,23,"3,560",154.8,"3,104,320"
AA,AUS,SJD,888,1,0,0,1,1,1,1,5,860,172.0,"763,680"
AA,AVL,CLT,92,6,5,5,7,6,6,7,42,"2,620",62.4,"241,040"
AA,AVL,DCA,384,1,1,1,1,1,1,1,7,455,65.0,"174,720"
AA,AVL,DFW,848,2,2,2,2,2,2,2,14,"1,428",102.0,"1,210,944"
AA,AVL,LGA,599,1,1,1,1,1,2,2,9,651,72.3,"389,949"
AA,AVL,ORD,536,2,2,2,2,2,2,2,14,910,65.0,"487,760"
AA,AVL,PHL,503,1,1,1,1,1,1,1,7,350,50.0,"176,050"
AA,AVP,CLT,508,2,2,2,3,2,3,3,17,"2,262",133.1,"1,149,096"
AA,AVP,ORD,631,2,1,1,2,2,1,2,11,759,69.0,"478,929"
AA,AZO,ORD,122,3,3,3,3,3,3,3,21,"1,376",65.5,"167,872"
AA,BDL,CLT,643,4,3,3,5,4,4,5,28,"4,610",164.6,"2,964,230"
AA,BDL,DCA,313,5,5,5,5,5,4,4,33,"2,420",73.3,"757,460"
AA,BDL,DFW,"1,471",1,1,1,2,1,1,2,9,"1,548",172.0,"2,277,108"
AA,BDL,MIA,"1,194",1,1,1,1,1,1,1,7,"1,204",172.0,"1,437,576"
AA,BDL,ORD,783,3,3,3,3,3,3,3,21,"1,596",76.0,"1,249,668"
AA,BDL,PHL,196,4,4,4,4,4,4,4,28,"1,946",69.5,"381,416"
AA,BFL,DFW,"1,271",1,1,1,1,1,1,1,7,"1,050",150.0,"1,334,550"
AA,BFL,PHX,425,4,4,4,5,4,4,5,30,"2,391",79.7,"1,016,175"
AA,BGR,DCA,590,3,3,3,3,3,3,3,21,"1,376",65.5,"811,840"
AA,BGR,PHL,473,3,2,3,3,3,3,3,20,"1,156",57.8,"546,788"
AA,BHM,CLT,352,6,5,6,6,6,4,6,39,"4,600",117.9,"1,619,200"
AA,BHM,DCA,654,3,3,3,3,3,3,3,21,"1,442",68.7,"943,068"
AA,BHM,DFW,597,6,6,5,7,8,6,7,45,"4,088",90.8,"2,440,536"
AA,BHM,MIA,661,3,3,3,3,3,3,3,21,"1,596",76.0,"1,054,956"
AA,BHM,OKC,631,0,0,0,0,0,0,1,1,128,128.0,"80,768"
AA,BHM,ORD,584,3,2,3,3,3,3,3,20,"1,487",74.3,"868,408"
AA,BHM,PHL,772,1,1,1,1,1,1,1,7,532,76.0,"410,704"
AA,BIL,DFW,"1,080",2,2,2,2,2,2,2,14,"1,064",76.0,"1,149,120"
AA,BIS,DFW,978,2,2,2,2,2,2,2,14,"1,064",76.0,"1,040,592"
AA,BIS,ORD,716,1,1,1,1,1,1,1,7,455,65.0,"325,780"
AA,BMI,DFW,690,2,2,2,2,2,2,2,14,"1,064",76.0,"734,160"
AA,BMI,ORD,116,3,3,3,3,3,3,3,21,"1,365",65.0,"158,340"
AA,BNA,CLT,329,7,7,7,9,7,7,9,53,"8,168",154.1,"2,687,272"
AA,BNA,CUN,"1,039",0,0,0,0,0,1,0,1,172,172.0,"178,708"
AA,BNA,DCA,562,5,5,5,5,5,4,5,34,"2,819",82.9,"1,584,278"
AA,BNA,DFW,631,8,8,7,9,8,7,9,56,"9,775",174.6,"6,168,025"
AA,BNA,JFK,766,3,3,3,3,3,3,3,21,"1,596",76.0,"1,222,536"
AA,BNA,LAX,"1,797",1,1,1,1,1,0,1,6,"1,032",172.0,"1,854,504"
AA,BNA,LGA,764,4,4,4,4,4,3,3,26,"1,976",76.0,"1,509,664"
AA,BNA,MIA,806,5,4,4,5,5,5,5,33,"4,292",130.1,"3,459,352"
AA,BNA,ORD,409,6,5,5,6,6,6,6,40,"2,743",68.6,"1,121,887"
AA,BNA,PHL,675,4,4,4,4,4,3,4,27,"2,860",105.9,"1,930,500"
AA,BNA,PHX,"1,448",2,1,1,2,1,1,2,10,"1,720",172.0,"2,490,560"
AA,BNA,RDU,443,3,3,3,3,3,1,3,19,"1,444",76.0,"639,692"
AA,BNA,TPA,612,2,2,2,2,2,1,2,13,988,76.0,"604,656"
AA,BOI,DFW,"1,272",2,2,2,2,2,2,2,14,"2,660",190.0,"3,383,520"
AA,BOI,ORD,"1,437",1,1,1,1,1,1,1,7,532,76.0,"764,484"
AA,BOI,PHX,735,3,2,2,3,2,2,3,17,"1,259",74.1,"925,365"
AA,BOS,CLT,727,8,7,7,8,7,7,8,52,"9,252",177.9,"6,726,204"
AA,BOS,CMH,640,2,2,2,2,2,2,2,14,"1,064",76.0,"680,960"
AA,BOS,CUN,"1,735",0,0,0,0,0,1,0,1,172,172.0,"298,420"
AA,BOS,CVG,752,2,2,2,2,2,2,2,14,"1,064",76.0,"800,128"
AA,BOS,DCA,399,10,10,10,10,10,7,10,67,"8,104",121.0,"3,233,496"
AA,BOS,DFW,"1,562",7,7,6,7,7,6,7,47,"8,606",183.1,"13,442,572"
AA,BOS,IND,817,3,3,3,3,3,2,3,20,"1,520",76.0,"1,241,840"
AA,BOS,JFK,187,4,4,4,4,4,5,4,29,"2,193",75.6,"410,091"
AA,BOS,LAX,"2,611",3,3,3,3,3,3,3,21,"2,142",102.0,"5,592,762"
AA,BOS,LGA,185,7,7,7,7,7,3,6,44,"3,333",75.8,"616,605"
AA,BOS,LHR,"3,265",1,1,1,1,1,1,1,7,"1,911",273.0,"6,239,415"
AA,BOS,MDT,335,1,1,1,1,1,1,1,7,350,50.0,"117,250"
AA,BOS,MIA,"1,258",6,6,6,6,6,6,6,42,"7,296",173.7,"9,178,368"
AA,BOS,ORD,867,9,8,8,9,9,8,9,60,"6,844",114.1,"5,933,748"
AA,BOS,PHL,280,8,6,6,8,8,5,8,49,"7,068",144.2,"1,979,040"
AA,BOS,PHX,"2,300",4,2,3,4,3,3,4,23,"4,508",196.0,"10,368,400"
AA,BOS,ROC,343,2,2,2,2,2,1,2,13,650,50.0,"222,950"
AA,BOS,SDF,829,1,1,1,1,1,1,1,7,532,76.0,"441,028"
AA,BOS,STL,"1,046",2,2,2,2,2,1,2,13,988,76.0,"1,033,448"
AA,BOS,SYR,264,1,1,1,1,1,1,1,7,350,50.0,"92,400"
AA,BPT,DFW,270,2,2,2,2,2,2,2,14,910,65.0,"245,700"
AA,BRO,DFW,482,4,4,3,5,4,3,5,28,"2,051",73.3,"988,582"
AA,BTR,CLT,676,3,3,3,3,3,2,3,20,"1,520",76.0,"1,027,520"
AA,BTR,DCA,985,1,1,1,1,1,0,1,6,390,65.0,"384,150"
AA,BTR,DFW,383,5,5,4,6,5,5,6,36,"2,714",75.4,"1,039,462"
AA,BTV,CLT,760,1,1,1,1,1,1,1,7,532,76.0,"404,320"
AA,BTV,DCA,437,3,3,3,3,3,3,3,21,"1,431",68.1,"625,347"
AA,BTV,LGA,258,0,0,0,0,0,1,1,2,152,76.0,"39,216"
AA,BTV,PHL,335,3,3,3,3,3,3,3,21,"1,596",76.0,"534,660"
AA,BUF,CLT,546,3,3,3,3,3,3,3,21,"3,692",175.8,"2,015,832"
AA,BUF,DCA,296,3,3,3,3,3,3,3,21,"1,442",68.7,"426,832"
AA,BUF,DFW,"1,212",2,2,1,2,2,2,2,13,"1,928",148.3,"2,336,736"
AA,BUF,LGA,292,3,3,3,3,3,1,3,19,"1,389",73.1,"405,588"
AA,BUF,MIA,"1,185",1,0,0,0,0,1,0,2,248,124.0,"293,880"
AA,BUF,ORD,473,4,3,3,4,4,3,4,25,"2,429",97.2,"1,148,917"
AA,BUF,PHL,279,3,3,3,3,3,3,3,21,"1,232",58.7,"343,728"
AA,BUR,DFW,"1,231",2,2,2,2,2,2,2,14,"2,408",172.0,"2,964,248"
AA,BUR,PHX,369,2,3,2,3,2,2,3,17,"1,193",70.2,"440,217"
AA,BWI,CLT,360,5,5,5,6,5,5,5,36,"6,294",174.8,"2,265,840"
AA,BWI,DFW,"1,217",2,2,2,3,2,2,3,16,"2,770",173.1,"3,371,090"
AA,BWI,MIA,946,2,2,2,2,2,2,2,14,"1,736",124.0,"1,642,256"
AA,BWI,ORD,621,4,3,3,4,4,4,4,26,"1,811",69.7,"1,124,631"
AA,BZN,DFW,"1,163",1,1,1,1,1,1,1,7,"1,204",172.0,"1,400,252"
AA,CAE,CLT,89,7,7,7,8,7,8,8,52,"2,782",53.5,"247,598"
AA,CAE,DCA,408,3,3,3,3,3,2,3,20,"1,366",68.3,"557,328"
AA,CAE,DFW,922,2,2,2,3,2,2,3,16,"1,216",76.0,"1,121,152"
AA,CAE,LGA,617,2,2,2,2,2,0,1,11,781,71.0,"481,877"
AA,CAE,PHL,522,2,2,2,2,2,2,2,14,700,50.0,"365,400"
AA,CAK,CLT,394,3,2,3,4,3,4,4,23,"1,682",73.1,"662,708"
AA,CAK,DCA,274,1,1,1,1,1,1,1,7,455,65.0,"124,670"
AA,CAK,ORD,344,2,2,2,2,2,2,2,14,910,65.0,"313,040"
AA,CHA,CLT,242,6,6,6,7,6,7,7,45,"2,250",50.0,"544,500"
AA,CHA,DCA,523,1,1,1,1,1,0,1,6,390,65.0,"203,970"
AA,CHA,DFW,695,5,5,4,5,5,5,5,34,"2,507",73.7,"1,742,365"
AA,CHA,ORD,501,2,2,2,2,2,2,2,14,"1,064",76.0,"533,064"
AA,CHO,CLT,244,7,7,7,8,7,7,8,51,"2,576",50.5,"628,544"
AA,CHO,LGA,305,1,1,1,1,1,1,1,7,455,65.0,"138,775"
AA,CHS,CLT,168,8,8,8,9,8,8,9,58,"6,760",116.6,"1,135,680"
AA,CHS,DCA,444,5,5,5,5,5,4,5,34,"3,183",93.6,"1,413,252"
AA,CHS,DFW,987,3,3,3,4,3,3,4,23,"3,446",149.8,"3,401,202"
AA,CHS,LGA,641,3,3,3,3,3,2,3,20,"1,443",72.2,"924,963"
AA,CHS,MIA,490,3,2,3,3,3,3,3,20,"2,772",138.6,"1,358,280"
AA,CHS,ORD,760,3,3,3,3,3,3,3,21,"1,585",75.5,"1,204,600"
AA,CHS,PHL,550,3,3,3,3,3,3,3,21,"2,190",104.3,"1,204,500"
AA,CID,CLT,742,2,2,2,2,2,1,2,13,"1,506",115.8,"1,117,452"
AA,CID,DCA,801,1,1,1,1,1,1,1,7,532,76.0,"426,132"
